material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2212900-13,E,6650,ASSEMBLY,ASSEMBLY,EOPC Seekers,696,3,3,282,,0.4,99.6%,99.6%
2212900-13,E,6700,TEST,,EOPC Seekers,699,2,1,435.3,0.2,0.6,99.7%,99.9%
2212900-13,E,6900,TEST,TEST,EOPC Seekers,699,276,45,1681,2.1,2.4,60.5%,93.6%
2212900-13,E,6920,ASSEMBLY,ASSEMBLY,EOPC Seekers,693,2,,377.7,,0.5,99.7%,100.0%
2212900-13,E,6960,ASSEMBLY,ASSEMBLY,EOPC Seekers,691,0,,272,,0.4,100.0%,100.0%
2212900-13,E,6980,INSPECTION,INSPECT,EOPC Seekers,689,5,,,,0.0,99.3%,100.0%
,,,,,,,,,,,,,
2276190,F,3000,ASSEMBLY,ASSEMBLY,EO Int,683,9,8,1026.5,,1.5,98.7%,98.8%
2276190,F,3340,TEST,"TEST, AUTOTHERM",EO Int,680,227,151,1941.2,0.3,2.9,66.6%,77.8%
2276190,F,3980,INSPECTION,FINAL INSPECTION,EO Int,684,3,,,,0.0,99.6%,100.0%
,,,,,,,,,,,,,
2274780-3B,G,1,ASSEMBLY,,EOPC Seekers,560,0,,,,0.0,100.0%,100.0%
2274780-3B,G,20,ASSEMBLY,INSTALL TRANSCEIVERS,EOPC Seekers,563,29,29,1219.7,,2.2,94.8%,94.8%
2274780-3B,G,30,ASSEMBLY,ASSEMBLE AOTD ELECT. TO AFT PLATE,EOPC Seekers,562,17,17,1035.2,,1.8,97.0%,97.0%
2274780-3B,G,40,ASSEMBLY,SET HEIGHT,EOPC Seekers,562,4,4,906.8,,1.6,99.3%,99.3%
2274780-3B,G,45,TEST,TEST,EOPC Seekers,550,323,135,1863.9,0.4,3.4,41.3%,75.5%
2274780-3B,G,50,ASSEMBLY,STAKE AND TAPE,EOPC Seekers,533,12,3,798,,1.5,97.7%,99.4%
2274780-3B,G,60,INSPECTION,INTERNAL INSPECTION,EOPC Seekers,530,9,6,,,0.0,98.3%,98.9%
2274780-3B,G,70,ASSEMBLY,INSTALL INTERNAL ASSEMBLY,EOPC Seekers,530,14,7,1993.9,,3.8,97.4%,98.7%
